country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Poland,PL,POL,616,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,5,Flush and pour flush - to elsewhere,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,8,Dry latrines - Traditional latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,11,Dry latrines - Bucket latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,12,Dry latrines - Other,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,13,Composting toilets,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,14,Other improved,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,15,"No facility, bush, field",0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,16,Other unimproved,0.052,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Rural,17,DK/missing information,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,1,Flush and pour flush - to piped sewer system,0.969,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,2,Flush and pour flush - to septic tank,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,3,Flush and pour flush - to pit,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,5,Flush and pour flush - to elsewhere,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,8,Dry latrines - Traditional latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,11,Dry latrines - Bucket latrine,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,12,Dry latrines - Other,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,13,Composting toilets,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,14,Other improved,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,15,"No facility, bush, field",0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,16,Other unimproved,0.031,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,National,17,DK/missing information,0.0,Eurostat SILC database - EUSILC14
Poland,PL,POL,616,Urban,1,Flush and pour flush - to piped sewer system,0.984,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,2,Flush and pour flush - to septic tank,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,3,Flush and pour flush - to pit,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,5,Flush and pour flush - to elsewhere,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,8,Dry latrines - Traditional latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,11,Dry latrines - Bucket latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,12,Dry latrines - Other,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,13,Composting toilets,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,14,Other improved,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,15,"No facility, bush, field",0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,16,Other unimproved,0.016,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,17,DK/missing information,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,1,Flush and pour flush - to piped sewer system,0.958,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,2,Flush and pour flush - to septic tank,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,3,Flush and pour flush - to pit,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,5,Flush and pour flush - to elsewhere,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,8,Dry latrines - Traditional latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,11,Dry latrines - Bucket latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,12,Dry latrines - Other,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,13,Composting toilets,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,14,Other improved,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,15,"No facility, bush, field",0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,16,Other unimproved,0.042,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Rural,17,DK/missing information,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,1,Flush and pour flush - to piped sewer system,0.973,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,2,Flush and pour flush - to septic tank,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,3,Flush and pour flush - to pit,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,5,Flush and pour flush - to elsewhere,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,8,Dry latrines - Traditional latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,11,Dry latrines - Bucket latrine,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,12,Dry latrines - Other,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,13,Composting toilets,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,14,Other improved,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,15,"No facility, bush, field",0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,16,Other unimproved,0.027,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,National,17,DK/missing information,0.0,Eurostat SILC database - EUSILC15
Poland,PL,POL,616,Urban,1,Flush and pour flush - to piped sewer system,0.986,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,2,Flush and pour flush - to septic tank,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,3,Flush and pour flush - to pit,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,5,Flush and pour flush - to elsewhere,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,8,Dry latrines - Traditional latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,11,Dry latrines - Bucket latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,12,Dry latrines - Other,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,13,Composting toilets,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,14,Other improved,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,15,"No facility, bush, field",0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,16,Other unimproved,0.014,EU SILC survey - EUSILC17
Poland,PL,POL,616,Urban,17,DK/missing information,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,1,Flush and pour flush - to piped sewer system,0.96,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,2,Flush and pour flush - to septic tank,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,3,Flush and pour flush - to pit,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,5,Flush and pour flush - to elsewhere,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,8,Dry latrines - Traditional latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,11,Dry latrines - Bucket latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,12,Dry latrines - Other,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,13,Composting toilets,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,14,Other improved,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,15,"No facility, bush, field",0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,16,Other unimproved,0.04,EU SILC survey - EUSILC17
Poland,PL,POL,616,Rural,17,DK/missing information,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,1,Flush and pour flush - to piped sewer system,0.975,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,2,Flush and pour flush - to septic tank,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,3,Flush and pour flush - to pit,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,5,Flush and pour flush - to elsewhere,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,8,Dry latrines - Traditional latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,11,Dry latrines - Bucket latrine,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,12,Dry latrines - Other,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,13,Composting toilets,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,14,Other improved,0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,15,"No facility, bush, field",0.0,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,16,Other unimproved,0.025,EU SILC survey - EUSILC17
Poland,PL,POL,616,National,17,DK/missing information,0.0,EU SILC survey - EUSILC17
